SMEW data output,,accepted dims,,,,,,
v,plant biomass,g m-2,,time,Y,N,N,rundict
E,evaporation rate,m d-1,,time,Y,N,N,rundict
Q,total surface runoff per timestep (Q = rain - I),m,,time,Y,N,N,rundict
s_w,soil moisture wilting point (constant),m3 m-3,,[],N,N,N,rundict
s_i,??? Soil moisture for maximum transpiration (constant),m3 m-3,,[],N,N,N,rundict
I,total infiltration of water into soil column per timestep (I = rain - Q),m,,time,Y,N,N,rundict
Irr,Irrigation flux (not yet implemented in model),???,,time,N,N,N,rundict
SOC,soil organic carbon mass balance ,gC m-3,,time,Y,N,N,rundict
CEC_tot_cmol,cation exchange capacity per 100 g of soil (constant),mmol_c / 100g,,[],Y,N,N,rundict
M_rock_in,mass of rock applied to field,g m-2,,app_t_per_ha,N,N,N,rundict
climfn,name of climate file used,unitless,,[],Y,Y,N,rundict
app_t_per_ha,mass of rock applied to field,tonne ha-1,,app_t_per_ha,Y,N,Y,rundict
